date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:25	69849/69849	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2008:16:24%20GMT	https://themeht.com/template/seoland/ltr/index-4.html	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/index-4.html	(from )
13:35:27	169/169	---MC-	200	added ('OK')	text/plain	date:Sat,%2003%20Aug%202024%2008:05:27%20GMT	https://themeht.com/robots.txt		(from )
13:35:29	42418/42418	---M--	200	added ('OK')	image/x-icon	date:Tue,%2012%20Mar%202024%2015:56:54%20GMT	https://themeht.com/template/seoland/ltr/images/favicon.ico	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/images/favicon.ico	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:31	232803/232803	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202024%2006:03:46%20GMT	https://themeht.com/template/seoland/ltr/css/bootstrap.min.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/bootstrap.min.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:32	98257/98257	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202024%2015:28:12%20GMT	https://themeht.com/template/seoland/ltr/css/bootstrap-icons.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/bootstrap-icons.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:34	102098/102098	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2007:40:20%20GMT	https://themeht.com/template/seoland/ltr/css/animate.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/animate.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:34	7302/7302	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Oct%202018%2007:46:20%20GMT	https://themeht.com/template/seoland/ltr/css/magnific-popup.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/magnific-popup.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:36	18436/18436	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2011:15:24%20GMT	https://themeht.com/template/seoland/ltr/css/swiper-bundle.min.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/swiper-bundle.min.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:37	3426/3426	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2009:48:22%20GMT	https://themeht.com/template/seoland/ltr/css/odometer.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/odometer.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:39	54159/54159	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2017:15:24%20GMT	https://themeht.com/template/seoland/ltr/css/spacing.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/spacing.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:39	5982/5982	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202024%2011:10:48%20GMT	https://themeht.com/template/seoland/ltr/css/seoland-icon.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/seoland-icon.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:41	16043/16043	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2007:07:28%20GMT	https://themeht.com/template/seoland/ltr/css/base.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/base.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:43	129135/129135	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2008:19:58%20GMT	https://themeht.com/template/seoland/ltr/css/shortcodes.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/shortcodes.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:44	161650/161650	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2007:39:36%20GMT	https://themeht.com/template/seoland/ltr/css/style.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/style.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
13:35:44	7331/7331	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202024%2008:51:18%20GMT	https://themeht.com/template/seoland/ltr/css/responsive.css	C:/Users/vick0/OneDrive/Desktop/black%20and%20white/Digital%20Marketing/themeht.com/template/seoland/ltr/css/responsive.css	(from https://themeht.com/template/seoland/ltr/index-4.html)
